Timestamp (h:m:s.ms.us.ns dur),Status,Address(7b),RW,Data,ASCII,Error,Information,
,,,,,,,*** Capture Started
13:28:12.603.231.020 391.420us,Start,58*,Wr,99* ,.,, 
13:28:12.603.432.360 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF* ,..............,, 
13:28:12.604.922.860 001.490ms,Start,58*,Wr,9A* ,.,, 
13:28:12.605.124.200 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.606.981.120 001.856ms,Start,58*,Wr,9B* ,.,, 
13:28:12.607.182.460 201.340us,Repeat Start,58*,Rd,FF FF FF FF* ,....,, 
13:28:12.607.757.060 574.600us,Start,58*,Wr,9C* ,.,, 
13:28:12.607.958.400 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.609.815.360 001.856ms,Start,58*,Wr,9D* ,.,, 
13:28:12.610.016.700 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF* ,......,, 
13:28:12.610.774.540 757.840us,Start,58*,Wr,9E* ,.,, 
13:28:12.610.975.880 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF* ,.................,, 
13:28:12.612.748.200 001.772ms,Start,58*,Wr,98* 98* 98* 98* 98* 98* 98* 98*   98* 98* 98* ,...........,, 
13:28:12.613.865.580 001.117ms,Repeat Start,58*,Rd,FF FF* ,..,, 
13:28:12.614.256.920 391.340us,Start,58*,Wr,99* ,.,, 
13:28:12.614.458.260 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF* ,..............,, 
13:28:12.615.948.900 001.490ms,Start,58*,Wr,9A* ,.,, 
13:28:12.616.150.240 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.618.007.300 001.857ms,Start,58*,Wr,9B* ,.,, 
13:28:12.618.208.640 201.340us,Repeat Start,58*,Rd,FF FF FF FF* ,....,, 
13:28:12.618.783.160 574.520us,Start,58*,Wr,9C* ,.,, 
13:28:12.618.984.500 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.620.841.460 001.856ms,Start,58*,Wr,9D* ,.,, 
13:28:12.621.042.800 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF* ,......,, 
13:28:12.621.800.640 757.840us,Start,58*,Wr,9E* ,.,, 
13:28:12.622.001.980 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF* ,.................,, 
13:28:12.623.774.460 001.772ms,Start,58*,Wr,98* 98* 98* 98* 98* 98* 98* 98*   98* 98* 98* ,...........,, 
13:28:12.624.891.840 001.117ms,Repeat Start,58*,Rd,FF FF* ,..,, 
13:28:12.625.283.220 391.380us,Start,58*,Wr,99* ,.,, 
13:28:12.625.484.580 201.360us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF* ,..............,, 
13:28:12.626.975.160 001.490ms,Start,58*,Wr,9A* ,.,, 
13:28:12.627.176.500 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.629.033.520 001.857ms,Start,58*,Wr,9B* ,.,, 
13:28:12.629.234.880 201.360us,Repeat Start,58*,Rd,FF FF FF FF* ,....,, 
13:28:12.629.809.380 574.500us,Start,58*,Wr,9C* ,.,, 
13:28:12.630.010.720 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.631.867.640 001.856ms,Start,58*,Wr,9D* ,.,, 
13:28:12.632.068.980 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF* ,......,, 
13:28:12.632.826.700 757.720us,Start,58*,Wr,9E* ,.,, 
13:28:12.633.028.040 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF* ,.................,, 
13:28:12.634.800.500 001.772ms,Start,58*,Wr,98* 98* 98* 98* 98* 98* 98* 98*   98* 98* 98* ,...........,, 
13:28:12.635.917.860 001.117ms,Repeat Start,58*,Rd,FF FF* ,..,, 
13:28:12.636.309.140 391.280us,Start,58*,Wr,99* ,.,, 
13:28:12.636.510.480 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF* ,..............,, 
13:28:12.638.001.060 001.490ms,Start,58*,Wr,9A* ,.,, 
13:28:12.638.202.400 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.640.059.400 001.857ms,Start,58*,Wr,9B* ,.,, 
13:28:12.640.260.740 201.340us,Repeat Start,58*,Rd,FF FF FF FF* ,....,, 
13:28:12.640.835.240 574.500us,Start,58*,Wr,9C* ,.,, 
13:28:12.641.036.580 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.642.893.540 001.856ms,Start,58*,Wr,9D* ,.,, 
13:28:12.643.094.880 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF* ,......,, 
13:28:12.643.850.160 755.280us,Start,58*,Wr,9E* ,.,, 
13:28:12.644.051.500 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF* ,.................,, 
13:28:12.645.823.840 001.772ms,Start,58*,Wr,98* 98* 98* 98* 98* 98* 98* 98*   98* 98* 98* ,...........,, 
13:28:12.646.941.200 001.117ms,Repeat Start,58*,Rd,FF FF* ,..,, 
13:28:12.647.332.640 391.440us,Start,58*,Wr,99* ,.,, 
13:28:12.647.533.980 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF* ,..............,, 
13:28:12.649.024.600 001.490ms,Start,58*,Wr,9A* ,.,, 
13:28:12.649.225.940 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.651.082.940 001.857ms,Start,58*,Wr,9B* ,.,, 
13:28:12.651.284.280 201.340us,Repeat Start,58*,Rd,FF FF FF FF* ,....,, 
13:28:12.651.858.740 574.460us,Start,58*,Wr,9C* ,.,, 
13:28:12.652.060.100 201.360us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.653.914.480 001.854ms,Start,58*,Wr,9D* ,.,, 
13:28:12.654.115.820 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF* ,......,, 
13:28:12.654.873.620 757.800us,Start,58*,Wr,9E* ,.,, 
13:28:12.655.074.960 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF* ,.................,, 
13:28:12.656.847.460 001.772ms,Start,58*,Wr,98* 98* 98* 98* 98* 98* 98* 98*   98* 98* 98* ,...........,, 
13:28:12.657.964.840 001.117ms,Repeat Start,58*,Rd,FF FF* ,..,, 
13:28:12.658.356.100 391.260us,Start,58*,Wr,99* ,.,, 
13:28:12.658.557.440 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF* ,..............,, 
13:28:12.660.047.980 001.490ms,Start,58*,Wr,9A* ,.,, 
13:28:12.660.249.320 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.662.106.280 001.856ms,Start,58*,Wr,9B* ,.,, 
13:28:12.662.307.620 201.340us,Repeat Start,58*,Rd,FF FF FF FF* ,....,, 
13:28:12.662.882.140 574.520us,Start,58*,Wr,9C* ,.,, 
13:28:12.663.083.480 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.664.940.380 001.856ms,Start,58*,Wr,9D* ,.,, 
13:28:12.665.141.740 201.360us,Repeat Start,58*,Rd,FF FF FF FF FF FF* ,......,, 
13:28:12.665.899.580 757.840us,Start,58*,Wr,9E* ,.,, 
13:28:12.666.100.920 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF* ,.................,, 
13:28:12.667.873.400 001.772ms,Start,58*,Wr,98* 98* 98* 98* 98* 98* 98* 98*   98* 98* 98* ,...........,, 
13:28:12.668.990.780 001.117ms,Repeat Start,58*,Rd,FF FF* ,..,, 
13:28:12.669.382.200 391.420us,Start,58*,Wr,99* ,.,, 
13:28:12.669.583.540 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF* ,..............,, 
13:28:12.671.074.080 001.490ms,Start,58*,Wr,9A* ,.,, 
13:28:12.671.275.420 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.673.132.500 001.857ms,Start,58*,Wr,9B* ,.,, 
13:28:12.673.333.840 201.340us,Repeat Start,58*,Rd,FF FF FF FF* ,....,, 
13:28:12.673.908.360 574.520us,Start,58*,Wr,9C* ,.,, 
13:28:12.674.109.700 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.675.966.620 001.856ms,Start,58*,Wr,9D* ,.,, 
13:28:12.676.167.960 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF* ,......,, 
13:28:12.676.925.800 757.840us,Start,58*,Wr,9E* ,.,, 
13:28:12.677.127.140 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF* ,.................,, 
13:28:12.678.899.540 001.772ms,Start,58*,Wr,98* 98* 98* 98* 98* 98* 98* 98*   98* 98* 98* ,...........,, 
13:28:12.680.016.920 001.117ms,Repeat Start,58*,Rd,FF FF* ,..,, 
13:28:12.680.408.180 391.260us,Start,58*,Wr,99* ,.,, 
13:28:12.680.609.520 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF* ,..............,, 
13:28:12.682.100.140 001.490ms,Start,58*,Wr,9A* ,.,, 
13:28:12.682.301.480 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.684.158.560 001.857ms,Start,58*,Wr,9B* ,.,, 
13:28:12.684.359.900 201.340us,Repeat Start,58*,Rd,FF FF FF FF* ,....,, 
13:28:12.684.934.380 574.480us,Start,58*,Wr,9C* ,.,, 
13:28:12.685.135.720 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.686.992.680 001.856ms,Start,58*,Wr,9D* ,.,, 
13:28:12.687.194.020 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF* ,......,, 
13:28:12.687.951.700 757.680us,Start,58*,Wr,9E* ,.,, 
13:28:12.688.153.040 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF* ,.................,, 
13:28:12.689.925.400 001.772ms,Start,58*,Wr,98* 98* 98* 98* 98* 98* 98* 98*   98* 98* 98* ,...........,, 
13:28:12.691.042.780 001.117ms,Repeat Start,58*,Rd,FF FF* ,..,, 
13:28:12.691.434.200 391.420us,Start,58*,Wr,99* ,.,, 
13:28:12.691.635.540 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF* ,..............,, 
13:28:12.693.126.060 001.490ms,Start,58*,Wr,9A* ,.,, 
13:28:12.693.327.400 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.695.184.380 001.856ms,Start,58*,Wr,9B* ,.,, 
13:28:12.695.385.720 201.340us,Repeat Start,58*,Rd,FF FF FF FF* ,....,, 
13:28:12.695.960.320 574.600us,Start,58*,Wr,9C* ,.,, 
13:28:12.696.161.660 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.698.018.620 001.856ms,Start,58*,Wr,9D* ,.,, 
13:28:12.698.219.960 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF* ,......,, 
13:28:12.698.977.800 757.840us,Start,58*,Wr,9E* ,.,, 
13:28:12.699.179.140 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF* ,.................,, 
13:28:12.700.951.620 001.772ms,Start,58*,Wr,98* 98* 98* 98* 98* 98* 98* 98*   98* 98* 98* ,...........,, 
13:28:12.702.069.000 001.117ms,Repeat Start,58*,Rd,FF FF* ,..,, 
13:28:12.702.460.300 391.300us,Start,58*,Wr,99* ,.,, 
13:28:12.702.661.660 201.360us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF* ,..............,, 
13:28:12.704.152.160 001.490ms,Start,58*,Wr,9A* ,.,, 
13:28:12.704.353.500 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.706.210.480 001.856ms,Start,58*,Wr,9B* ,.,, 
13:28:12.706.411.840 201.360us,Repeat Start,58*,Rd,FF FF FF FF* ,....,, 
13:28:12.706.986.460 574.620us,Start,58*,Wr,9C* ,.,, 
13:28:12.707.187.800 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.709.044.880 001.857ms,Start,58*,Wr,9D* ,.,, 
13:28:12.709.246.220 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF* ,......,, 
13:28:12.710.003.940 757.720us,Start,58*,Wr,9E* ,.,, 
